cell_id,step,time,mother_maturity,daughter_maturity,mtoc_activity,cilium_present,phase,cycle_progress,cycle_count,growth_signal,stress_level
4294967296,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.132454,0,0.900000,0.012765
4294967297,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.391890,0,0.900000,0.018681
4294967298,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.864651,0,0.900000,0.000000
4294967299,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.106218,0,0.900000,0.011587
4294967300,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.738072,0,0.900000,0.000000
4294967301,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.611291,0,0.900000,0.018639
4294967302,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.939198,0,0.900000,0.003736
4294967303,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.624210,0,0.900000,0.013865
4294967304,111,5.550000,1.000000,0.055500,0.986125,1,G1,0.000000,0,0.900000,0.015495
4294967305,111,5.550000,1.000000,0.055500,0.986125,0,G1,0.000000,0,0.900000,0.021070
4294967296,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.222986,0,0.900000,0.011045
4294967297,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.477716,0,0.900000,0.010028
4294967298,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.949319,0,0.900000,0.001163
4294967299,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.196207,0,0.900000,0.015289
4294967300,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.825967,0,0.900000,0.004810
4294967301,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.698443,0,0.900000,0.015280
4294967302,121,6.050000,1.000000,0.060500,0.984875,0,S,0.035062,0,0.900000,0.007688
4294967303,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.708585,0,0.900000,0.013198
4294967304,121,6.050000,1.000000,0.060500,0.984875,1,G1,0.000000,0,0.900000,0.020941
4294967305,121,6.050000,1.000000,0.060500,0.984875,0,G1,0.000000,0,0.900000,0.016083
4294967296,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.309179,0,0.900000,0.007685
4294967297,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.566192,0,0.900000,0.012072
4294967298,131,6.550000,1.000000,0.065500,0.983625,0,S,0.047085,0,0.900000,0.000000
4294967299,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.286509,0,0.900000,0.018772
4294967300,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.914009,0,0.900000,0.006649
4294967301,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.783588,0,0.900000,0.011837
4294967302,131,6.550000,1.000000,0.065500,0.983625,0,S,0.152157,0,0.900000,0.005564
4294967303,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.797702,0,0.900000,0.017365
4294967304,131,6.550000,1.000000,0.065500,0.983625,1,G1,0.000000,0,0.900000,0.023615
4294967305,131,6.550000,1.000000,0.065500,0.983625,0,G1,0.000000,0,0.900000,0.013937
4294967296,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.396733,0,0.900000,0.005491
4294967297,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.655396,0,0.900000,0.005227
4294967298,141,7.050000,1.000000,0.070500,0.982375,0,S,0.160928,0,0.900000,0.004550
4294967299,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.372582,0,0.900000,0.011464
4294967300,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.997141,0,0.900000,0.005507
4294967301,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.872678,0,0.900000,0.010887
4294967302,141,7.050000,1.000000,0.070500,0.982375,0,S,0.269616,0,0.900000,0.010410
4294967303,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.882992,0,0.900000,0.011031
4294967304,141,7.050000,1.000000,0.070500,0.982375,1,G1,0.000000,0,0.900000,0.027926
4294967305,141,7.050000,1.000000,0.070500,0.982375,0,G1,0.000000,0,0.900000,0.008335
4294967296,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.485159,0,0.900000,0.000000
4294967297,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.741887,0,0.900000,0.000000
4294967298,151,7.550000,1.000000,0.075500,0.981125,0,S,0.279922,0,0.900000,0.004251
4294967299,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.462756,0,0.900000,0.013573
4294967300,151,7.550000,1.000000,0.075500,0.981125,0,S,0.106728,0,0.900000,0.010619
4294967301,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.960573,0,0.900000,0.013804
4294967302,151,7.550000,1.000000,0.075500,0.981125,0,S,0.385734,0,0.900000,0.012598
4294967303,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.968076,0,0.900000,0.010823
4294967304,151,7.550000,1.000000,0.075500,0.981125,1,G1,0.025310,0,0.900000,0.027949
4294967305,151,7.550000,1.000000,0.075500,0.981125,0,G1,0.000000,0,0.900000,0.005358
